fips,year,size
19027,2000,21377
19029,2000,14672
19031,2000,18200
19033,2000,46349
19035,2000,13003
19037,2000,13063
19039,2000,9187
19041,2000,17372
19043,2000,18607
19045,2000,50045
19047,2000,16927
19049,2000,41070
19051,2000,8542
19053,2000,8659
19055,2000,18388
19057,2000,42284
19059,2000,16461
19061,2000,89232
19063,2000,10992
19065,2000,21992
19067,2000,16854
19069,2000,10682
19071,2000,7996
19073,2000,10338
19075,2000,12362
19077,2000,11341
19079,2000,16413
19081,2000,12096
19083,2000,18816
19085,2000,15691
19087,2000,20292
19089,2000,9916
19091,2000,10367
19093,2000,7799
19095,2000,15708
19097,2000,20302
19099,2000,37215
19101,2000,16154
19103,2000,111481
19105,2000,20208
19107,2000,11417
19109,2000,17125
19111,2000,37920
19113,2000,192307
19115,2000,12170
19117,2000,9405
19119,2000,11741
19121,2000,14058
19123,2000,22304
19125,2000,32101
19127,2000,39317
19129,2000,14555
19131,2000,10865
19133,2000,10003
19135,2000,8001
19137,2000,11791
19139,2000,41799
19141,2000,15066
19143,2000,6982
19145,2000,16917
19147,2000,10136
19149,2000,24849
19151,2000,8600
19153,2000,375963
19155,2000,87966
19157,2000,18834
19159,2000,5461
19161,2000,11474
19163,2000,158678
19165,2000,13070
19167,2000,31561
19169,2000,80127
19171,2000,18072
19173,2000,6978
19175,2000,12272
19177,2000,7817
19179,2000,36005
19181,2000,40778
19183,2000,20701
19185,2000,6725
19187,2000,40195
19189,2000,11743
19191,2000,21284
19193,2000,103822
19195,2000,7900
19197,2000,14313
20001,2000,14386
20003,2000,8090
20005,2000,16765
20007,2000,5287
20009,2000,28129
20011,2000,15382
20013,2000,10711
20015,2000,59675
20017,2000,3029
20019,2000,4347
20021,2000,22549
20023,2000,3156
20025,2000,2387
20027,2000,8812
20029,2000,10226
20031,2000,8893
20033,2000,1956
20035,2000,36252
20037,2000,38233
20039,2000,3458
20041,2000,19345
20043,2000,8235
20045,2000,100295
20047,2000,3425
20049,2000,3219
20051,2000,27455
20053,2000,6525
20055,2000,40602
20057,2000,32574
20059,2000,24851
20061,2000,27677
20063,2000,3067
20065,2000,2921
20067,2000,7878
20069,2000,5904
20071,2000,1540
20073,2000,7656
20075,2000,2658
20077,2000,6502
20079,2000,32877
20081,2000,4307
20083,2000,2084
20085,2000,12664
20087,2000,18442
20089,2000,3759
20091,2000,454644
20093,2000,4512
20095,2000,8677
20097,2000,3254
20099,2000,22737
20101,2000,2145
20103,2000,68921
20105,2000,3574
20107,2000,9599
20109,2000,3048
20111,2000,35965
20113,2000,29571
20115,2000,13377
20117,2000,10934
20119,2000,4622
20121,2000,28507
20123,2000,6911
20125,2000,36205
20127,2000,6113
20129,2000,3480
20131,2000,10684
20133,2000,16944
20135,2000,3440
20137,2000,5948
20139,2000,16758
20141,2000,4435
20143,2000,6189
20145,2000,7218
20147,2000,5994
20149,2000,18277
20151,2000,9629
20153,2000,2959
20155,2000,64691
20157,2000,5801
20159,2000,10732
20161,2000,63085
20163,2000,5663
20165,2000,3534
20167,2000,7353
20169,2000,53646
20171,2000,5096
20173,2000,453546
20175,2000,22545
20177,2000,170063
20179,2000,2794
20181,2000,6746
20183,2000,4515
20185,2000,4751
20187,2000,2402
20189,2000,5449
20191,2000,25947
20193,2000,8176
20195,2000,3292
20197,2000,6873
20199,2000,1740
20201,2000,6472
20203,2000,2518
20205,2000,10304
20207,2000,3763
20209,2000,157857
21001,2000,17285
21003,2000,17810
21005,2000,19184
21007,2000,8300
21009,2000,38118
21011,2000,11128
21013,2000,30041
21015,2000,87006
21017,2000,19364
21019,2000,49662
21021,2000,27703
21023,2000,8277
21025,2000,16061
21027,2000,18678
21029,2000,61633
21031,2000,13039
21033,2000,13039
21035,2000,34171
21037,2000,88659
21039,2000,5342
21041,2000,10162
21043,2000,26867
21045,2000,15481
21047,2000,72414
21049,2000,33223
21051,2000,24503
21053,2000,9629
21055,2000,9404
21057,2000,7163
21059,2000,91607
21061,2000,11654
21063,2000,6781
21065,2000,15309
21067,2000,261189
21069,2000,13856
21071,2000,42380
21073,2000,47848
21075,2000,7697
21077,2000,7884
21079,2000,14862
21081,2000,22545
21083,2000,37083
21085,2000,24116
21087,2000,11549
21089,2000,36832
21091,2000,8422
21093,2000,94295
21095,2000,32999
21097,2000,18025
21099,2000,17532
21101,2000,44816
21103,2000,15097
21105,2000,5248
21107,2000,46457
21109,2000,13511
21111,2000,694067
21113,2000,39206
21115,2000,23341
21117,2000,151683
21119,2000,17613
21121,2000,31846
21123,2000,13399
21125,2000,52918
21127,2000,15587
21129,2000,7919
21131,2000,12370
21133,2000,25217
21135,2000,14124
21137,2000,23464
21139,2000,9814
21141,2000,26601
21143,2000,8107
21145,2000,65440
21147,2000,17066
21149,2000,9977
21151,2000,71308
21153,2000,13317
21155,2000,18208
21157,2000,30121
21159,2000,12560
21161,2000,16786
21163,2000,26523
21165,2000,6595
21167,2000,20826
21169,2000,10020
21171,2000,11739
21173,2000,22663
21175,2000,13967
21177,2000,31796
21179,2000,37677
21181,2000,6784
21183,2000,22918
21185,2000,46981
21187,2000,10574
21189,2000,4863
21191,2000,14488
21193,2000,29287
21195,2000,68490
21197,2000,13280
21199,2000,56336
21201,2000,2264
21203,2000,16636
21205,2000,22070
21207,2000,16328
21209,2000,33407
21211,2000,33548
21213,2000,16413
21215,2000,11995
21217,2000,22917
21219,2000,11943
21221,2000,12633
21223,2000,8175
21225,2000,15601
21227,2000,92822
21229,2000,10915
21231,2000,19985
21233,2000,14113
21235,2000,35970
21237,2000,7095
21239,2000,23267
22001,2000,58817
22003,2000,25410
22005,2000,77335
22007,2000,23378
22009,2000,41480
22011,2000,33025
22013,2000,15728
22015,2000,98601
22017,2000,252013
22019,2000,183514
22021,2000,10579
22023,2000,9949
22025,2000,10903
22027,2000,16779
22029,2000,20212
22031,2000,25513
22033,2000,412919
22035,2000,9402
22037,2000,21365
22039,2000,35399
22041,2000,21245
22043,2000,18687
22045,2000,73234
22047,2000,33315
22049,2000,15381
22051,2000,454738
22053,2000,31398
22055,2000,190453
22057,2000,89974
22059,2000,14264
22061,2000,42510
22063,2000,92531
22065,2000,13707
22067,2000,30962
22069,2000,39097
22071,2000,483663
22073,2000,147266
22075,2000,26737
22077,2000,22756
22079,2000,126392
22081,2000,9598
22083,2000,20930
22085,2000,23495
22087,2000,66988
22089,2000,48160
22091,2000,10508
22093,2000,21179
22095,2000,43151
22097,2000,87711
22099,2000,48654
22101,2000,53256
22103,2000,192179
22105,2000,100826
22107,2000,6575
22109,2000,104461
22111,2000,22777
22113,2000,53966
22115,2000,52522
22117,2000,43890
22119,2000,41709
22121,2000,21564
22123,2000,12283
22125,2000,15136
22127,2000,16830
23001,2000,103845
23003,2000,73869
23005,2000,266058
23007,2000,29479
23009,2000,51862
23011,2000,117214
23013,2000,39684
23015,2000,33699
23017,2000,54802
