STNAME,CTYNAME,STCODE,CTYCODE,year,cases
Connecticut,New Haven County,9,9,Cases2000,442
Connecticut,New London County,9,11,Cases2000,439
Connecticut,Tolland County,9,13,Cases2000,201
Connecticut,Windham County,9,15,Cases2000,359
Connecticut,Connecticut,9,999,Cases2000,111
Delaware,Kent County,10,1,Cases2000,25
Delaware,New Castle County,10,3,Cases2000,121
Delaware,Sussex County,10,5,Cases2000,21
Delaware,Delaware,10,999,Cases2000,0
District of Columbia,District of Columbia,11,1,Cases2000,11
Florida,Alachua County,12,1,Cases2000,1
Florida,Baker County,12,3,Cases2000,0
Florida,Bay County,12,5,Cases2000,0
Florida,Bradford County,12,7,Cases2000,0
Florida,Brevard County,12,9,Cases2000,2
Florida,Broward County,12,11,Cases2000,0
Florida,Calhoun County,12,13,Cases2000,0
Florida,Charlotte County,12,15,Cases2000,0
Florida,Citrus County,12,17,Cases2000,1
Florida,Clay County,12,19,Cases2000,1
Florida,Collier County,12,21,Cases2000,1
Florida,Columbia County,12,23,Cases2000,0
Florida,DeSoto County,12,27,Cases2000,0
Florida,Dixie County,12,29,Cases2000,0
Florida,Duval County,12,31,Cases2000,1
Florida,Escambia County,12,33,Cases2000,1
Florida,Flagler County,12,35,Cases2000,1
Florida,Franklin County,12,37,Cases2000,0
Florida,Gadsden County,12,39,Cases2000,0
Florida,Gilchrist County,12,41,Cases2000,0
Florida,Glades County,12,43,Cases2000,0
Florida,Gulf County,12,45,Cases2000,0
Florida,Hamilton County,12,47,Cases2000,0
Florida,Hardee County,12,49,Cases2000,0
Florida,Hendry County,12,51,Cases2000,0
Florida,Hernando County,12,53,Cases2000,2
Florida,Highlands County,12,55,Cases2000,0
Florida,Hillsborough County,12,57,Cases2000,2
Florida,Holmes County,12,59,Cases2000,0
Florida,Indian River County,12,61,Cases2000,2
Florida,Jackson County,12,63,Cases2000,0
Florida,Jefferson County,12,65,Cases2000,0
Florida,Lafayette County,12,67,Cases2000,0
Florida,Lake County,12,69,Cases2000,1
Florida,Lee County,12,71,Cases2000,3
Florida,Leon County,12,73,Cases2000,0
Florida,Levy County,12,75,Cases2000,0
Florida,Liberty County,12,77,Cases2000,0
Florida,Madison County,12,79,Cases2000,0
Florida,Manatee County,12,81,Cases2000,1
Florida,Marion County,12,83,Cases2000,0
Florida,Martin County,12,85,Cases2000,1
Florida,Miami-Dade County,12,86,Cases2000,9
Florida,Monroe County,12,87,Cases2000,0
Florida,Nassau County,12,89,Cases2000,0
Florida,Okaloosa County,12,91,Cases2000,1
Florida,Okeechobee County,12,93,Cases2000,0
Florida,Orange County,12,95,Cases2000,4
Florida,Osceola County,12,97,Cases2000,0
Florida,Palm Beach County,12,99,Cases2000,2
Florida,Pasco County,12,101,Cases2000,0
Florida,Pinellas County,12,103,Cases2000,10
Florida,Polk County,12,105,Cases2000,0
Florida,Putnam County,12,107,Cases2000,0
Florida,St. Johns County,12,109,Cases2000,0
Florida,St. Lucie County,12,111,Cases2000,0
Florida,Santa Rosa County,12,113,Cases2000,0
Florida,Sarasota County,12,115,Cases2000,4
Florida,Seminole County,12,117,Cases2000,1
Florida,Sumter County,12,119,Cases2000,0
Florida,Suwannee County,12,121,Cases2000,0
Florida,Taylor County,12,123,Cases2000,0
Florida,Union County,12,125,Cases2000,0
Florida,Volusia County,12,127,Cases2000,1
Florida,Wakulla County,12,129,Cases2000,1
Florida,Walton County,12,131,Cases2000,0
Florida,Washington County,12,133,Cases2000,0
Florida,Florida,12,999,Cases2000,0
Georgia,Appling County,13,1,Cases2000,0
Georgia,Atkinson County,13,3,Cases2000,0
Georgia,Bacon County,13,5,Cases2000,0
Georgia,Baker County,13,7,Cases2000,0
Georgia,Baldwin County,13,9,Cases2000,0
Georgia,Banks County,13,11,Cases2000,0
Georgia,Barrow County,13,13,Cases2000,0
Georgia,Bartow County,13,15,Cases2000,0
Georgia,Ben Hill County,13,17,Cases2000,0
Georgia,Berrien County,13,19,Cases2000,0
Georgia,Bibb County,13,21,Cases2000,0
Georgia,Bleckley County,13,23,Cases2000,0
Georgia,Brantley County,13,25,Cases2000,0
Georgia,Brooks County,13,27,Cases2000,0
Georgia,Bryan County,13,29,Cases2000,0
Georgia,Bulloch County,13,31,Cases2000,0
Georgia,Burke County,13,33,Cases2000,0
Georgia,Butts County,13,35,Cases2000,0
