fips,year,size
13217,pop2000,62883
13219,pop2000,26368
13221,pop2000,12707
13223,pop2000,83004
13225,pop2000,23833
13227,pop2000,23359
13229,pop2000,15697
13231,pop2000,13798
13233,pop2000,38258
13235,pop2000,9579
13237,pop2000,18859
13239,pop2000,2603
13241,pop2000,15085
13243,pop2000,7757
13245,pop2000,199663
13247,pop2000,70566
13249,pop2000,3783
13251,pop2000,15370
13253,pop2000,9361
13255,pop2000,58486
13257,pop2000,25476
13259,pop2000,5255
13261,pop2000,33253
13263,pop2000,6535
13265,pop2000,2079
13267,pop2000,22313
13269,pop2000,8818
13271,pop2000,11797
13273,pop2000,10968
13275,pop2000,42815
13277,pop2000,38445
13279,pop2000,26106
13281,pop2000,9371
13283,pop2000,6882
13285,pop2000,58892
13287,pop2000,9501
13289,pop2000,10571
13291,pop2000,17404
13293,pop2000,27617
13295,pop2000,61114
13297,pop2000,61559
13299,pop2000,35439
13301,pop2000,6296
13303,pop2000,21160
13305,pop2000,26591
13307,pop2000,2377
13309,pop2000,6183
13311,pop2000,20127
13313,pop2000,84064
13315,pop2000,8574
13317,pop2000,10670
13319,pop2000,10222
13321,pop2000,21968
15001,pop2000,149095
15003,pop2000,875061
15007,pop2000,58511
15009,pop2000,128754
16001,pop2000,303174
16003,pop2000,3458
16005,pop2000,75671
16007,pop2000,6425
16009,pop2000,9193
16011,pop2000,41748
16013,pop2000,19123
16015,pop2000,6746
16017,pop2000,36999
16019,pop2000,82867
16021,pop2000,9908
16023,pop2000,2899
16025,pop2000,978
16027,pop2000,133053
16029,pop2000,7302
16031,pop2000,21393
16033,pop2000,1024
16035,pop2000,8886
16037,pop2000,4336
16039,pop2000,29087
16041,pop2000,11348
16043,pop2000,11788
16045,pop2000,15211
16047,pop2000,14205
16049,pop2000,15450
16051,pop2000,19214
16053,pop2000,18431
16055,pop2000,109541
16057,pop2000,34884
16059,pop2000,7735
16061,pop2000,3741
16063,pop2000,4047
16065,pop2000,27466
16067,pop2000,20091
16069,pop2000,37397
16071,pop2000,4136
16073,pop2000,10690
16075,pop2000,20634
16077,pop2000,7500
16079,pop2000,13726
16081,pop2000,6100
16083,pop2000,64341
16085,pop2000,7636
16087,pop2000,9969
17001,pop2000,68220
17003,pop2000,9584
17005,pop2000,17650
17007,pop2000,42053
17009,pop2000,6963
17011,pop2000,35473
17013,pop2000,5090
17015,pop2000,16626
17017,pop2000,13680
17019,pop2000,179931
17021,pop2000,35354
17023,pop2000,16993
17025,pop2000,14410
17027,pop2000,35536
17029,pop2000,53078
17031,pop2000,5376861
17033,pop2000,20398
17035,pop2000,11256
17037,pop2000,89334
17039,pop2000,16790
17041,pop2000,19925
17043,pop2000,906576
17045,pop2000,19657
17047,pop2000,6967
17049,pop2000,34260
17051,pop2000,21792
17053,pop2000,14209
17055,pop2000,39016
17057,pop2000,38240
17059,pop2000,6427
17061,pop2000,14746
17063,pop2000,37678
17065,pop2000,8604
17067,pop2000,20089
17069,pop2000,4787
17071,pop2000,8209
17073,pop2000,51049
17075,pop2000,31320
17077,pop2000,59612
17079,pop2000,10070
17081,pop2000,40053
17083,pop2000,21655
17085,pop2000,22276
17087,pop2000,12920
17089,pop2000,407511
17091,pop2000,103879
17093,pop2000,55217
17095,pop2000,55754
17097,pop2000,648116
17099,pop2000,111516
17101,pop2000,15390
17103,pop2000,36053
17105,pop2000,39651
17107,pop2000,31149
17109,pop2000,32855
17111,pop2000,261887
17113,pop2000,150897
17115,pop2000,114476
17117,pop2000,48989
17119,pop2000,259120
17121,pop2000,41687
17123,pop2000,13138
17125,pop2000,16009
17127,pop2000,15127
17129,pop2000,12493
17131,pop2000,16950
17133,pop2000,27763
17135,pop2000,30625
17137,pop2000,36617
17139,pop2000,14319
17141,pop2000,51161
17143,pop2000,183166
17145,pop2000,23061
17147,pop2000,16371
17149,pop2000,17335
17151,pop2000,4418
17153,pop2000,7324
17155,pop2000,6075
17157,pop2000,33897
17159,pop2000,16242
17161,pop2000,149143
17163,pop2000,256208
17165,pop2000,26631
17167,pop2000,189093
17169,pop2000,7189
17171,pop2000,5539
17173,pop2000,22831
17175,pop2000,6320
17177,pop2000,48882
17179,pop2000,128494
17181,pop2000,18256
17183,pop2000,83796
17185,pop2000,12903
17187,pop2000,18683
17189,pop2000,15163
17191,pop2000,17124
17193,pop2000,15328
17195,pop2000,60631
17197,pop2000,508038
17199,pop2000,61265
17201,pop2000,278989
17203,pop2000,35484
18001,pop2000,33612
18003,pop2000,332744
18005,pop2000,71737
18007,pop2000,9396
18009,pop2000,14006
18011,pop2000,46380
18013,pop2000,14987
18015,pop2000,20147
18017,pop2000,40965
18019,pop2000,96749
18021,pop2000,26563
18023,pop2000,33968
18025,pop2000,10785
18027,pop2000,29828
18029,pop2000,46344
18031,pop2000,24571
18033,pop2000,40400
18035,pop2000,118733
18037,pop2000,39700
18039,pop2000,183521
18041,pop2000,25556
18043,pop2000,70911
18045,pop2000,17917
18047,pop2000,22218
18049,pop2000,20553
18051,pop2000,32529
18053,pop2000,73286
18055,pop2000,33199
18057,pop2000,185301
18059,pop2000,55662
18061,pop2000,34514
18063,pop2000,105367
18065,pop2000,48446
18067,pop2000,84969
18069,pop2000,38099
18071,pop2000,41402
18073,pop2000,30176
18075,pop2000,21791
18077,pop2000,31728
18079,pop2000,27691
18081,pop2000,115936
18083,pop2000,39193
18085,pop2000,74222
18087,pop2000,34947
18089,pop2000,484536
18091,pop2000,110158
18093,pop2000,45925
18095,pop2000,133275
18097,pop2000,860972
18099,pop2000,45245
18101,pop2000,10359
18103,pop2000,36160
18105,pop2000,120760
18107,pop2000,37603
18109,pop2000,66885
18111,pop2000,14546
18113,pop2000,46473
18115,pop2000,5636
18117,pop2000,19320
18119,pop2000,21872
18121,pop2000,17217
18123,pop2000,18880
18125,pop2000,12815
18127,pop2000,147164
18129,pop2000,27064
18131,pop2000,13739
18133,pop2000,36112
18135,pop2000,27375
18137,pop2000,26645
18139,pop2000,18206
18141,pop2000,265859
18143,pop2000,23034
18145,pop2000,43554
18147,pop2000,20414
18149,pop2000,23523
18151,pop2000,33316
18153,pop2000,21742
18155,pop2000,9094
18157,pop2000,149301
18159,pop2000,16559
18161,pop2000,7340
18163,pop2000,171953
18165,pop2000,16770
18167,pop2000,105738
18169,pop2000,34977
18171,pop2000,8442
18173,pop2000,52517
18175,pop2000,27262
18177,pop2000,71017
18179,pop2000,27600
18181,pop2000,25224
18183,pop2000,30722
19001,pop2000,8208
19003,pop2000,4475
19005,pop2000,14671
19007,pop2000,13701
19009,pop2000,6807
19011,pop2000,25338
19013,pop2000,128024
19015,pop2000,26247
19017,pop2000,23282
19019,pop2000,21079
19021,pop2000,20352
19023,pop2000,15290
19025,pop2000,11089
19027,pop2000,21377
19029,pop2000,14672
19031,pop2000,18200
19033,pop2000,46349
19035,pop2000,13003
19037,pop2000,13063
19039,pop2000,9187
19041,pop2000,17372
19043,pop2000,18607
19045,pop2000,50045
19047,pop2000,16927
19049,pop2000,41070
19051,pop2000,8542
19053,pop2000,8659
19055,pop2000,18388
19057,pop2000,42284
19059,pop2000,16461
19061,pop2000,89232
19063,pop2000,10992
19065,pop2000,21992
19067,pop2000,16854
19069,pop2000,10682
19071,pop2000,7996
19073,pop2000,10338
19075,pop2000,12362
19077,pop2000,11341
19079,pop2000,16413
19081,pop2000,12096
19083,pop2000,18816
19085,pop2000,15691
19087,pop2000,20292
19089,pop2000,9916
19091,pop2000,10367
19093,pop2000,7799
19095,pop2000,15708
19097,pop2000,20302
19099,pop2000,37215
19101,pop2000,16154
19103,pop2000,111481
19105,pop2000,20208
19107,pop2000,11417
19109,pop2000,17125
19111,pop2000,37920
