fips,state_fips,county_fips,areaname,state_name,county_name,fipsst,fipsco,region,division,pop1970,pop1971,pop1972,pop1973,pop1974,pop1975,pop1976,pop1977,pop1978,pop1979,pop1980,pop1981,pop1982,pop1983,pop1984,pop1985,pop1986,pop1987,pop1988,pop1989,pop1990,pop1991,pop1992,pop1993,pop1994,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop19904,pop20104,base20104,pop2010,pop2011,pop2012,pop2013,pop2014
13217,13,217,Newton County,Georgia,Newton County,13,217,3,5,26282,27400,28200,31400,32400,32400,33200,33700,33800,34100,34666,36139,36771,37078,37586,38267,38789,39694,40595,41243,42065,43574,44632,46337,48318,50486,52758,55216,57862,60583,62883,66941,71239,75699,80650,85657,90657,95739,98385,99944,41808,NA,NA,NA,NA,NA,NA,NA
13217,13,13217,"Newton County, Georgia",Georgia,Newton County,13,13217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99958,99958,100160,100464,101016,102201,103675
13219,13,13219,"Oconee County, Georgia",Georgia,Oconee County,13,13219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32808,32815,32927,33255,33520,34050,35093
13219,13,219,Oconee County,Georgia,Oconee County,13,219,3,5,7915,8100,8700,9100,9500,9900,10200,10900,11400,12000,12427,12895,13282,13763,14336,14609,15010,15673,16284,17043,17797,18296,18683,19315,20242,21237,22377,23187,23707,24526,26368,26675,27100,27958,28568,29303,30450,31511,32528,33320,17618,NA,NA,NA,NA,NA,NA,NA
13221,13,221,Oglethorpe County,Georgia,Oglethorpe County,13,221,3,5,7598,7600,7800,7900,8100,8300,8400,8600,8700,9000,8929,9055,9085,9220,9363,9411,9384,9501,9487,9673,9806,9948,10171,10405,10560,10758,10816,11220,11437,11564,12707,12884,13083,13219,13378,13424,13688,13962,14235,14328,9763,NA,NA,NA,NA,NA,NA,NA
13221,13,13221,"Oglethorpe County, Georgia",Georgia,Oglethorpe County,13,13221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14899,14899,14910,14784,14597,14512,14673
13223,13,223,Paulding County,Georgia,Paulding County,13,223,3,5,17520,18400,19600,20600,21800,22200,22800,24000,24400,25200,26110,27007,27800,28739,29587,31006,33074,35731,38079,40078,42028,44652,47239,51406,55681,59732,63966,68829,73888,79587,83004,88590,93888,99199,104820,111084,119959,127903,133300,136655,41611,NA,NA,NA,NA,NA,NA,NA
13223,13,13223,"Paulding County, Georgia",Georgia,Paulding County,13,13223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142324,142324,142763,143829,145066,147181,148987
13225,13,13225,"Peach County, Georgia",Georgia,Peach County,13,13225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27695,27696,27772,27577,27510,26905,26922
13225,13,225,Peach County,Georgia,Peach County,13,225,3,5,15990,17100,18600,17500,17700,17800,17900,18200,18800,19000,19151,18306,18607,18624,18990,19359,19729,19952,21275,21108,21265,21376,21915,22261,22730,23005,23434,23864,24475,24996,23833,23966,24197,24407,24566,24460,25169,26184,27036,27247,21189,NA,NA,NA,NA,NA,NA,NA
13227,13,227,Pickens County,Georgia,Pickens County,13,227,3,5,9620,9900,9900,10500,10600,10700,11000,11200,11300,11400,11652,11879,12079,12186,12550,12729,13066,13545,13997,14249,14495,14771,14980,15434,16201,16759,17586,18605,19733,21024,23359,24487,25575,26688,27481,28141,29232,30406,31063,31264,14432,NA,NA,NA,NA,NA,NA,NA
13227,13,13227,"Pickens County, Georgia",Georgia,Pickens County,13,13227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29431,29422,29458,29468,29316,29509,29997
13229,13,13229,"Pierce County, Georgia",Georgia,Pierce County,13,13229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18758,18758,18802,18723,18835,18948,18991
13229,13,229,Pierce County,Georgia,Pierce County,13,229,3,5,9281,9500,9700,10100,10400,10800,11200,11600,11600,11700,11897,11825,12321,12123,12286,12647,12781,12846,12965,13104,13407,13473,13610,13993,14439,14803,15250,15503,15763,15804,15697,15808,15989,16239,16713,17129,17412,17851,18176,18580,13328,NA,NA,NA,NA,NA,NA,NA
13231,13,13231,"Pike County, Georgia",Georgia,Pike County,13,13231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17869,17869,17918,17802,17804,17796,17784
13231,13,231,Pike County,Georgia,Pike County,13,231,3,5,7316,7400,7800,7900,8100,8100,8100,8300,8500,8500,8937,8786,9005,8994,9198,9450,9352,9557,9882,10002,10313,10535,10501,10575,10938,11341,11651,12196,12667,13104,13798,14036,14610,15020,15574,15968,16602,17193,17578,17721,10224,NA,NA,NA,NA,NA,NA,NA
13233,13,233,Polk County,Georgia,Polk County,13,233,3,5,29656,30500,31700,32000,32500,32400,32300,32300,32000,32300,32382,32654,32868,32739,32888,33341,33488,33751,34049,33919,33839,34126,34282,34244,34587,34844,35308,35879,36280,36627,38258,38783,39409,39616,39950,40300,40946,41447,42081,42298,33815,NA,NA,NA,NA,NA,NA,NA
13233,13,13233,"Polk County, Georgia",Georgia,Polk County,13,13233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41475,41475,41532,41283,41127,41177,41133
13235,13,235,Pulaski County,Georgia,Pulaski County,13,235,3,5,8066,7900,8200,8300,8300,8400,8500,8700,8700,8800,8950,8977,8879,8810,8706,8577,8478,8336,8160,8160,8122,8051,8088,8196,8247,8233,8238,8303,8412,8359,9579,9608,9664,9660,9708,9650,9761,9803,9778,9897,8108,NA,NA,NA,NA,NA,NA,NA
13235,13,13235,"Pulaski County, Georgia",Georgia,Pulaski County,13,13235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12010,11999,11919,11851,11680,11531,11483
13237,13,237,Putnam County,Georgia,Putnam County,13,237,3,5,8394,8700,8700,8700,9000,9200,9200,9400,9900,10200,10295,10623,10817,11171,11630,12092,12520,12964,13338,13682,14261,14679,14929,15272,15568,16006,16508,16877,17561,18199,18859,19104,19229,19272,19511,19623,19893,20264,20450,20495,14137,NA,NA,NA,NA,NA,NA,NA
13237,13,13237,"Putnam County, Georgia",Georgia,Putnam County,13,13237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21218,21218,21208,21261,21161,21310,21192
